"id","name","description"
7629,SLINE BODY 涼感機能雕塑美體褲/九分褲-FreeSize/261丹 (紫)-2入,"SLINE BODY 涼感機能雕塑美體褲/九分褲-FreeSize/261丹 (紫)-2入★涼感塑身褲也是纖腰塑臀好物
★特殊織法設計/7大重點加壓
★台灣製造/外銷日本流行款式
★早晚都可穿著/全天候打造美麗
★塑腰、平腹、提臀、美腿/一件搞定"
7632,JOY酷涼3D防晒花紗袖套/運動套指版 (蘋果綠),"JOY酷涼3D防晒花紗袖套/運動套指版 (蘋果綠)3D無接縫立體織法，一體成形，無壓痕
99.9% 防止紫外線，不怕曬黑，防止皮膚老化
通過SGS檢測，無添加螢光劑、游離甲醛"
7633,JOY酷涼3D防晒花紗袖套/運動套指版 (魔力紅),"JOY酷涼3D防晒花紗袖套/運動套指版 (魔力紅)3D無接縫立體織法，一體成形，無壓痕
99.9% 防止紫外線，不怕曬黑，防止皮膚老化
通過SGS檢測，無添加螢光劑、游離甲醛"
7634,【MA510】女神系 空氣瀏海 浪漫大波浪長捲髮,【MA510】女神系 空氣瀏海 浪漫大波浪長捲髮賣場以現貨+預購的方式照訂單順序出貨，如遇缺貨需預購約７－２５天左右（不含假日）能接受再下標喔謝謝！
7635,【MA511】網紅最愛 COS 空氣瀏海 長捲髮,【MA511】網紅最愛 COS 空氣瀏海 長捲髮賣場以現貨+預購的方式照訂單順序出貨，如遇缺貨需預購約７－２５天左右（不含假日）能接受再下標喔謝謝！
7636,【MA514】成熟溫柔中旁分大波浪長捲髮,【MA514】成熟溫柔中旁分大波浪長捲髮賣場以現貨+預購的方式照訂單順序出貨，如遇缺貨需預購約７－２５天左右（不含假日）能接受再下標喔謝謝！
7637,【MA519】網紅最愛 齊瀏海大波浪長捲髮,【MA519】網紅最愛 齊瀏海大波浪長捲髮賣場以現貨+預購的方式照訂單順序出貨，如遇缺貨需預購約７－２５天左右（不含假日）能接受再下標喔謝謝！
7638,【MA517】氣質系空氣瀏海 髮尾內彎長捲髮,【MA517】氣質系空氣瀏海 髮尾內彎長捲髮賣場以現貨+預購的方式照訂單順序出貨，如遇缺貨需預購約７－２５天左右（不含假日）能接受再下標喔謝謝！
7630,鉅豪微電腦四季烘被機+烘衣櫥,"鉅豪微電腦四季烘被機+烘衣櫥創新升級專利加大烘被袋
日本技術，台灣製造
具除濕、防霉、殺螨、烘被、暖房、去味"
2280,Targus City 15.6 吋 Dynamic城市動感後背包 ,"Targus City 15.6 吋 Dynamic城市動感後背包 | 筆電包 | 筆電包,電腦週邊,電腦/電競/遊戲/週邊,Targus City 15.6 吋 Dynamic城市動感後背包 Targus City 15.6 吋 Dynamic城市動感後背包,筆電包,背部隱藏安全口袋，可放置錢包或手機;電腦夾層採用高防護性防撞泡棉;背包底部採用加強防"
